,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
7400,s7389,TV Show,Pete the Cat,,"Jacob Tremblay, Jeff “Swampy” Marsh, KT Tunstall, Don Was, Alyson Stoner, Atticus Shaffer, Indie Nameth, Juliet Donenfeld, Felix Avitia, Jessica Biel, Rhys Darby, Pamela Adlon, Fred Tatasciore, Diedrich Bader, Jesse Tyler Ferguson, Jim Parsons, Tom Freund",United States,2021,G,8 Seasons,Kids,The gang prepares for the excitement of back to school with this special musical!
7420,s7412,Movie,Dostana,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Kirron Kher, Bobby Deol, Boman Irani, Sushmita Mukherjee","India, United States",2008,13+,142 min,"Comedy, International","It’s all happening in the Beach Party Capitol of the world, Miami. But when Sameer (Abhishek Bachchan) and Kunal (John Abraham) are turned down for an apartment because the land lady doesn’t want two strapping young men to corrupt her young sexy niece Neha (Priyanka Chopra), they pretend to be “Gay” to secure the apartment, and then they meet the niece, Neha, and the fun really starts!"
7425,s7417,Movie,Chashme Bahaddar,Vijay Patkar,"Sanjay Narvekar, Dipali Sayyad, Vijay Chavan, Johnny Lever, Rajpal Yadav, Deepak Shirke, Sahil Shirvaikar, Jaiwant Bhalekar, Kishori Ambiye, Purnima Ahire, Vijay Kadam, Jayraj Nair, Arun Nalawade, Sunil Pal, Nisha Parulekar, Kamlakar Satputhe, Sunil Tawde",India,2006,G,146 min,Comedy,"Rajaram (Sanjay Narvekar), an ordinary librarian, finds himself standing against a powerful builder and his goons, who want to vacate the chawl in which he resides. His life changes after receiving a pair of magical eyeglasses from his step-grandpa's spirit."
7488,s7482,Movie,Permanent Midnight,David Veloz,"Ben Stiller, Elizabeth Hurley, Janeane Garofalo, Maria Bello, Owen Wilson, Cheryl Ladd",United States,1998,R,88 min,Drama,Based on an allegedly true story of TV writer Jerry Stahl with a $5000 a week job and a $6000 a week cocaine habit.
7512,s7506,Movie,The Priest (Telugu),Jofin T. Chacko,"Mammootty, Manju Warrier, Ameya Mathew, Nikhila Vimal, Baby Monica",India,2021,13+,145 min,Suspense,"Father Carmen, a priest, joins hands with the police to investigate a series of mysterious suicides. However, he soon stumbles upon a disturbing fact that has serious consequences."
7673,s7667,Movie,The Whistleblower,Larysa Kondracki,"Rachel Weisz, Vanessa Redgrave, Monica Bellucci, David Strathairn, Benedict Cumberbatch, Liam Cunningham, Luke Treadaway","Canada, Germany",2011,R,112 min,"Action, Drama, Suspense","This ripped-from-the-headlines thriller is inspired by actual events. Kathy Bolkovac (Rachel Weisz), a Nebraskan police officer, takes a job as a peacekeeper in post-war Bosnia. Her expectations of helping to rebuild a devastated country are dashed when she uncovers a dangerous reality of corruption, cover-up and intrigue amid a world of private contractors and multinational diplomatic doubletalk."
7733,s7727,Movie,Karma Cartel,Vinod Bharathan,"Vinay Forrt, Sabumon Abdusamad, Jinu Joseph, Tony Luke, Shani Shaki, Franko Manjilla, Ahamed Shaheen, Rohini Idiccula","India, Denmark",2014,13+,101 min,"Drama, Suspense","A multi-award-winning, avant-garde film set In a southern city of India, following a reporter's search for a missing actor that leads to the revelation of multiple lives connected to it through greed and bad choices."
7744,s7738,Movie,He Who Lives In Hidden Lakes,Zach Lona,"Kevin K. Gomez, Sarah Kopp, Lucas Lona, Rachel O'Connell, Charlie Bain, Arash Fakhrabadi, Helen Liaskos-Lona, Moriah Martel, Emily Camp, Vincent Banks, Katherine Bellantone, Eddie Lynch, Ali de Rosas, Dom Udell, Daphne Nitsuga, Patrys Jean Destin, Shannon Angel, John McDonnell, Derek Johnson, Pete Laughlin, Nora King, Alan Prince, Chrissy Rejcek, Jordan Bridgman, Jeremiah Davis, Trina Love, Martin Davis, Nick Alonzo, Anthony Gibson, Zach Lona",United States,2019,13+,96 min,"Action, Science Fiction, Suspense","The fanatic beliefs of an internet mystic, a cult leader, and a rookie cop gone rogue are tested on the hunt for the ""Hidden Man"": an elusive forest-dwelling cryptid that terrorizes their idyllic suburb."
7759,s7753,Movie,Conjuring the Genie,Scott Jeffrey,"Sarah T. Cohen, Megan Purvis, Barbara Dabson, Nicola Wright, Amanda-Jade Tyler",United Kingdom,2021,18+,91 min,"Horror, Suspense",A young lady unleashes a demonic Genie from an amulet.
7816,s7812,TV Show,Goliath,,"Billy Bob Thornton, Nina Arianda, Tania Raymonde",United States,2021,TV-MA,4 Seasons,"Drama, Suspense","In the final season, Billy McBride returns to his roots after Patty takes a job at a prestigious law firm in San Francisco. Together, they try to take down one of America’s most insidious Goliaths: the opioid industry. As Billy deals with his own pain and Patty can’t shake the feeling she’s being used, they will test each other’s loyalty like never before."
7921,s7916,Movie,Montana,Jennifer Leitzes,"Philip Seymour Hoffman, Kyra Sedgwick, Stanley Tucci, Robin Tunney, Robbie Coltrane, John Ritter, Ethan Embry",United States,1998,R,96 min,"Action, Adventure, Comedy",A hit woman and her sickly boyfriend try to find out who's plotting to kill her boss.
7938,s7935,Movie,The Witch of Kings Cross,Sonia Bible,,Australia,2020,16+,75 min,Documentary,"Allegations of satanic rituals, obscene art and sex orgies in 1950s Sydney. Inspired by the work of Aleister Crowley, bohemian artist Rosaleen Norton advocated a pantheist vision of witchcraft, and a sexual magic freed from religious and moral rules. Eventually the relentless scandals led to the downfall of her high society lover."
